host_id,host_name,host_response_rate,host_is_superhost,host_total_listings_count,host_identity_verified,license,host_since,host_since_years_months
3013025,Suada,,FALSE,4,Unverified,Unlicensed,2012-07-21,"12 years, 3 months"
358089614,Joshua,100%,TRUE,2,Unverified,Unlicensed,2020-07-23,"4 years, 3 months"
39162543,Jeff,100%,FALSE,5,Verified,Unlicensed,2015-07-21,"9 years, 3 months"
148571080,David,0%,FALSE,11,Verified,Unlicensed,2017-08-31,"7 years, 2 months"
394869975,Betty,78%,FALSE,5,Unverified,Unlicensed,2021-03-30,"3 years, 7 months"
351763192,Tarajee,,FALSE,2,Verified,Unlicensed,2020-06-25,"4 years, 4 months"
483056418,Kristina,100%,FALSE,28,Verified,Unlicensed,2022-10-10,"2 years, 0 months"
44305915,Romaine,100%,FALSE,3,Verified,Unlicensed,2015-09-15,"9 years, 1 months"
2868,Letha M.,100%,FALSE,4,Verified,Unlicensed,2008-09-10,"16 years, 1 months"
16899543,Arash,100%,FALSE,5,Unverified,Unlicensed,2014-06-17,"10 years, 4 months"
489756011,Wapt,97%,FALSE,31,Verified,Unlicensed,2022-11-30,"1 years, 11 months"
454700211,Myaa,,FALSE,20,Verified,Unlicensed,2022-04-17,"2 years, 6 months"
563069592,The Tillary Hotel Brooklyn,100%,FALSE,9,Verified,Exempt,2024-02-20,"0 years, 8 months"
736652,Luciana,100%,FALSE,2,Verified,Unlicensed,2011-06-23,"13 years, 4 months"
61391963,Stay With Vibe,99%,FALSE,345,Verified,Unlicensed,2016-03-03,"8 years, 8 months"
745069,Kimberly,60%,FALSE,5,Verified,Unlicensed,2011-06-26,"13 years, 4 months"
11599731,Leonardo,,FALSE,2,Verified,Unlicensed,2014-01-24,"10 years, 9 months"
2229467,Jessica,,FALSE,1,Verified,Unlicensed,2012-04-26,"12 years, 6 months"
138770550,Charmine,0%,FALSE,12,Verified,Unlicensed,2017-07-05,"7 years, 4 months"
128579948,Giampiero,100%,TRUE,5,Verified,Unlicensed,2017-05-02,"7 years, 6 months"
120223,Jen,100%,FALSE,1,Verified,Unlicensed,2010-05-07,"14 years, 6 months"
6702683,Lora,,FALSE,5,Verified,Unlicensed,2013-06-02,"11 years, 5 months"
45774302,Julian,,FALSE,3,Verified,Unlicensed,2015-10-04,"9 years, 1 months"
533234561,Tina,82%,FALSE,133,Verified,Unlicensed,2023-08-22,"1 years, 2 months"
13347167,AFI Apartments,87%,FALSE,31,Verified,Unlicensed,2014-03-20,"10 years, 7 months"
1556814,Tamra,100%,FALSE,42,Verified,Unlicensed,2012-01-02,"12 years, 10 months"
547422647,The Wallace,100%,FALSE,15,Verified,Exempt,2023-11-20,"0 years, 11 months"
492849680,Tibor,,FALSE,1,Verified,Unlicensed,2022-12-26,"1 years, 10 months"
136812643,Marah,,FALSE,2,Unverified,Unlicensed,2017-06-24,"7 years, 4 months"
35539450,Luis,100%,FALSE,3,Verified,OSE-STRREG-0000064,2015-06-11,"9 years, 4 months"
24278208,Reah,,FALSE,5,Verified,Unlicensed,2014-11-29,"9 years, 11 months"
4941291,Randon,,FALSE,1,Unverified,Unlicensed,2013-02-02,"11 years, 9 months"
206195782,Leigh,,TRUE,1,Unverified,Unlicensed,2018-07-30,"6 years, 3 months"
41426347,Andrea,,FALSE,4,Verified,Unlicensed,2015-08-13,"9 years, 2 months"
540041298,Kristina,100%,FALSE,8,Verified,Unlicensed,2023-10-02,"1 years, 1 months"
534575586,Walter,,FALSE,2,Unverified,Unlicensed,2023-08-29,"1 years, 2 months"
165776960,Raanan,79%,FALSE,13,Verified,Unlicensed,2018-01-04,"6 years, 10 months"
162280872,Urban Furnished,100%,FALSE,373,Verified,Unlicensed,2017-12-11,"6 years, 10 months"
164316200,Desmond,70%,FALSE,3,Verified,Unlicensed,2017-12-26,"6 years, 10 months"
256632041,Kaitlin,0%,FALSE,1,Unverified,Unlicensed,2019-04-18,"5 years, 6 months"
305240193,Elena,100%,FALSE,1480,Verified,Unlicensed,2019-10-29,"5 years, 0 months"
1863597,Nicole,100%,FALSE,5,Verified,Unlicensed,2012-03-05,"12 years, 8 months"
10194134,Elias,,FALSE,2,Verified,Unlicensed,2013-11-22,"10 years, 11 months"
502141479,Eibhlin,88%,FALSE,34,Verified,Unlicensed,2023-02-21,"1 years, 8 months"
7250989,Fg,60%,FALSE,6,Verified,Unlicensed,2013-07-02,"11 years, 4 months"
50084376,Asijah,,FALSE,1,Verified,Unlicensed,2015-11-28,"8 years, 11 months"
1793569,Frances,,FALSE,2,Verified,Unlicensed,2012-02-22,"12 years, 8 months"
