id,monthly_airbnb_revenue,yearly_airbnb_revenue,total_reservation_days
7.39334E+17,2039.583333,24475,275
5.72612E+17,108.75,1305,29
45267941,8.916666667,107,1
8.38141E+17,11.66666667,140,1
1.08266E+18,7225,86700,255
53190949,4.5,54,1
1.02028E+18,376,4512,96
1.02967E+18,2240,26880,96
13234457,270,3240,54
1.2E+18,4545,54540,303
8.0656E+17,650,7800,52
7.73238E+17,12.5,150,1
1.09713E+18,6244.166667,74930,254
7.60087E+17,8703.75,104445,211
1.18924E+18,38.66666667,464,8
310325,187.5,2250,30
44866024,7637.5,91650,282
1.16809E+18,1192,14304,96
1.23333E+18,291,3492,97
1.2031E+18,8325,99900,111
27883,1975,23700,237
51927795,33.25,399,1
6.8173E+17,1817,21804,276
1.0107E+18,488.1666667,5858,58
1.08052E+18,502.6666667,6032,52
303264,208.3333333,2500,10
1.04375E+18,11889.5,142674,237
7.9053E+17,16.91666667,203,1
6.51594E+17,0,0,0
1.23329E+18,10.5,126,2
1.2081E+18,442.75,5313,23
7.96986E+17,4,48,1
6.40443E+17,679,8148,42
7.25483E+17,33.33333333,400,1
27454904,5212.5,62550,278
5.81828E+17,8004,96048,276
1.00498E+18,393.75,4725,105
9.69036E+17,3468.75,41625,185
46999617,510.4166667,6125,35
8.18099E+17,1734.916667,20819,109
8.47907E+17,1477.333333,17728,277
7.48538E+17,915,10980,61
49009747,1325,15900,300
6.75959E+17,2134.916667,25619,187
27082137,480,5760,96
1.07108E+18,467.6666667,5612,122
1.20576E+18,963.6666667,11564,118
9698613,2903.25,34839,237
7234538,2903.25,34839,237
6.22964E+17,1800,21600,108
8.14742E+17,12.41666667,149,1
1.20235E+18,1840,22080,96
7.35632E+17,25,300,1
4920338,0,0,0
9.80574E+17,2737,32844,276
1.1102E+18,850,10200,85
50550783,894,10728,149
52025370,0,0,0
11845193,2903.25,34839,237
11858737,2903.25,34839,237
9717766,2903.25,34839,237
11868110,2903.25,34839,237
9735503,2903.25,34839,237
9757762,2903.25,34839,237
9796737,2903.25,34839,237
7480795,2903.25,34839,237
9927400,2903.25,34839,237
9938594,2903.25,34839,237
9.13652E+17,1600,19200,96
42582390,3565,42780,276
7.62356E+17,0,0,0
7.73305E+17,205.8333333,2470,19
52562444,1664,19968,96
62925,4417.5,53010,186
1.0129E+18,3664,43968,192
9.78192E+17,1741.666667,20900,95
9735931,2903.25,34839,237
9770041,2903.25,34839,237
13060365,2903.25,34839,237
7431316,2903.25,34839,237
7500030,2903.25,34839,237
9906415,2903.25,34839,237
7726296,2903.25,34839,237
7789678,2903.25,34839,237
9997702,2903.25,34839,237
9.1318E+17,11.33333333,136,1
9757351,2903.25,34839,237
7359313,2903.25,34839,237
7348925,2903.25,34839,237
7387862,2903.25,34839,237
7397649,2903.25,34839,237
7396662,2903.25,34839,237
9796155,2903.25,34839,237
7398163,2903.25,34839,237
7539610,2903.25,34839,237
9896731,2903.25,34839,237
7616651,2903.25,34839,237
1.13811E+18,0,0,0
9978664,2903.25,34839,237
7758577,2903.25,34839,237
10015340,2903.25,34839,237
7921643,2903.25,34839,237
7928917,2903.25,34839,237
10070350,2903.25,34839,237
8034665,2903.25,34839,237
10106530,2903.25,34839,237
12423497,2903.25,34839,237
5569464,2903.25,34839,237
12585126,2903.25,34839,237
8605739,2903.25,34839,237
8551866,2903.25,34839,237
6094708,2903.25,34839,237
6232987,2903.25,34839,237
7664959,2903.25,34839,237
9968402,2903.25,34839,237
12303877,2903.25,34839,237
7867805,2903.25,34839,237
1.17466E+18,50,600,1
10067924,2903.25,34839,237
8052046,2903.25,34839,237
10137048,2903.25,34839,237
5470350,2903.25,34839,237
12426778,2903.25,34839,237
8553197,2903.25,34839,237
6046877,2903.25,34839,237
10562085,2903.25,34839,237
10660249,2903.25,34839,237
10909032,2903.25,34839,237
9231257,2903.25,34839,237
6626894,2903.25,34839,237
7826411,2903.25,34839,237
10020815,2903.25,34839,237
7893820,2903.25,34839,237
12387215,2903.25,34839,237
10065831,2903.25,34839,237
8014298,2903.25,34839,237
10117624,2903.25,34839,237
12472883,2903.25,34839,237
5601147,2903.25,34839,237
8590275,2903.25,34839,237
6026546,2903.25,34839,237
